contig_id	IT1_A	IT1_B	IT1_C	IT2_A	IT2_B	IT2_C	IT3_A	IT3_B	IT3_C	IT4_A	IT4_B	IT4_C	length
IT1_2001379	122	135	184	114	78	83	103	133	118	215	237	187	8885
IT1_2003565	228	241	184	245	146	190	178	116	85	40	51	37	5763
IT1_2003979	1317	1732	1516	1403	1096	1054	781	1138	1213	1114	1378	1063	86159
IT1_2004241	145	172	119	122	106	131	114	157	106	126	161	130	4279
IT1_2004336	393	492	429	389	274	347	451	307	332	291	338	265	3562
IT1_2004459	8	33	10	6	8	0	6	8	18	36	13	12	3230
IT1_2006379	22	17	32	10	8	10	17	17	12	16	17	9	3889
IT1_2006469	72	88	68	68	67	49	49	81	62	69	63	45	5829
IT1_2006509	70	95	63	76	59	57	32	59	60	64	93	86	16226
IT1_2007419	24	24	32	12	3	1	11	16	8	21	26	19	3995
IT1_2007812	1036	1140	1455	1028	632	751	1138	1109	1255	2612	2978	2273	35366
IT1_2010162	24	34	26	12	24	27	38	32	30	62	62	64	3108
IT1_2010704	4	32	25	10	15	14	10	20	10	8	15	4	3907
IT1_2011160	33	32	16	24	14	6	6	4	9	10	10	16	3055
IT1_2011474	464	614	584	369	316	389	184	241	275	372	398	276	51586
IT1_2012002	16	19	10	12	10	2	12	20	27	32	36	29	3475
IT1_2015341	124	100	104	76	49	70	32	47	37	34	40	30	4648
IT1_2016077	30	39	30	24	10	15	18	24	34	30	40	34	3534
IT1_2017131	22	31	28	12	18	10	6	8	10	22	12	11	3494
IT1_201739	81	125	146	108	75	110	117	164	138	236	315	213	15227
IT1_2018864	85	65	94	36	40	41	40	49	40	59	70	48	8011
IT1_202186	37	53	28	15	22	18	17	30	38	55	70	44	4519
IT1_2023241	48	81	39	69	41	31	52	55	65	99	84	63	5565
IT1_2023269	20	10	15	9	5	6	5	14	14	28	28	16	3176
IT1_20244	19	29	27	14	16	16	19	22	13	32	31	19	4956
IT1_2025003	144	201	281	92	63	59	45	52	77	124	159	106	17624
IT1_2025837	75	88	117	95	71	73	57	51	55	64	75	62	8048
IT1_2026124	20	27	27	20	20	14	6	12	26	28	34	10	4770
IT1_2027583	29	32	33	26	16	22	5	16	32	25	34	31	7173
IT1_2027606	111	126	118	107	81	90	196	173	146	288	327	221	12644
